ABANDON VEHICLE,ABANDONED VEHICLE
AGGRAVATED ARRSON,AGGRAVATED ARSON
AGGRIVATED ARRSON,AGGRAVATED ARSON
AGGRAVATED ASSAULT D,AGGRAVATED ASSAULT DOMESTIC
AGGRAVATED BATTERY D,AGGRAVATED BATTERY DOMESTIC
AGGRAVATED KIDNAPPIN,AGGRAVATED KIDNAPPING
AGGRAVATED RAPE - MA,AGGRAVATED RAPE MALE VICTIM
AGGRAVATED RAPE MALE,AGGRAVATED RAPE MALE VICTIM
ARMED ROBBERY WITH G,ARMED ROBBERY WITH GUN
ARMED ROBBERY WITH K,ARMED ROBBERY WITH KNIFE
AUTO ACCIDENT FATALI,AUTO ACCIDENT FATALITY
AUTO ACCIDENT WITH I,AUTO ACCIDENT WITH INJURY
"BURGLAR ALARM, SILEN","BURGLAR ALARM, SILENT"
BUSINESS BUGLARY,BUSINESS BURGLARY
CAR JACKING - NO WEA,CARJACKING- NO WEAPON
CARJACKING - NO WEAP,CARJACKING- NO WEAPON
CAR JACKING,CARJACKING
CONTRIBUTING TO DELI,CONTRIBUTING TO DELINQUENCY
CRIMINAL DAMAGE DOME,CRIMINAL DAMAGE DOMESTIC
CRIMINAL DAMANGE DOM,CRIMINAL DAMAGE DOMESTIC
CRIMINAL MISCHIEF DO,CRIMINAL MISCHIEF DOMESTIC
CRUELTY TO ANNIMALS,CRUELTY TO ANIMALS
DAILY WALKING BEAT L,DAILY WALKING BEAT LOG
DESCRICATION OF GRAV,DESECRATION OF GRAVES
DESECRATION OF GRAVE,DESECRATION OF GRAVES
DIRECTED TRAFFIC ENF,DIRECTED TRAFFIC ENFORCEMENT
DISBURSE SUBJECTS,DISPERSE SUBJECTS
DISCHARGING FIREARM,DISCHARGING FIREARMS
DRIVING WHILE UNDER,DRIVING WHILE UNDER INFLUENCE
FIRE BOMB,FIREBOMB
FUGITIVE ATTTACHMENT,FUGITIVE ATTACHMENT
HIT & RUN  FATALITY,HIT & RUN FATALITY
HIT & RUN  WITH INJU,HIT & RUN WITH INJURIES
HIT & RUN WITH INJUR,HIT & RUN WITH INJURIES
HIT & RUN POLICE VEH,HIT & RUN POLICE VEHICLE
IMPERSONATING AN OFF,IMPERSONATING AN OFFICER
INCIDENT REQUESTED B,INCIDENT REQUESTED BY ANOTHER AGENCY
ISSUING WORTHLESS CH,ISSUING WORTHLESS CHECKS
MUNICIPAL  ATTTACHME,UNICIPAL ATTACHMENT
NEGLIENT INJURY,NEGLIGENT INJURY
"OBSCENITY ,EXPOSING","OBSCENITY, EXPOSING"
OFFICER NEED ASSISTA,OFFICER NEEDS ASSISTANCE
OFFICER NEEDS ASSIST,OFFICER NEEDS ASSISTANCE
PARADE ITEM NUMBER,PARADE ITEM NUMBERS
POLICE VEHICLE ACCID,POLICE VEHICLE ACCIDENT
POSSESSION OF STOLEN,POSSESSION OF STOLEN PROPERTY
RECOVERY OF A VEHICL,RECOVERY OF VEHICLE
RETURN FOR ADD'L INF,RETURN FOR ADDITIONAL INFO
SILENT E-911 CALL,SILENT 911 CALL
SIMPLE ASSAULT DOMES,SIMPLE ASSAULT DOMESTIC
SIMPLE BATTERY DOMES,SIMPLE BATTERY DOMESTIC
SIMPLE BURGLARY VEHI,SIMPLE BURGLARY VEHICLE
SIMPLE CRIMINAL DAMA,SIMPLE CRIMINAL DAMAGE
SIMPLE RAPE - MALE V,SIMPLE RAPE MALE VICTIM
SIMPLE RAPE MALE VIC,SIMPLE RAPE MALE VICTIM
SIMPLE ROBBERY PROPE,"SIMPLE ROBBERY, PROPERTY SNATCHING"
SOLICITING FOR PROST,SOLICITING FOR PROSTITUTION
THEFT BY EMBEZZLEMEN,THEFT BY EMBEZZLEMENT
TRAFFIC  ATTTACHMENT,TRAFFIC ATTACHMENT
TRAFFIC  INCIDENT,TRAFFIC INCIDENT
UNDER AGE DRINKING V,UNDERAGE DRINKING VIOLATION
UNDERAGE DRINKING VI,UNDERAGE DRINKING VIOLATION
VIOLATION OF PROTECT,VIOLATION OF PROTECTION ORDER
